RollNo,HPC-TH,DL-TH,LP5-TH,LP6-TH,PS-TW,Total
44201,33,33,33,33,33,165
44202,64,43,46,78,75,306
44203,43,33,83,41,76,276
44204,94,48,98,41,89,370
44205,85,48,77,71,76,357
44206,81,88,66,59,43,337
44207,67,80,69,83,64,363
44208,73,77,88,41,90,369
44209,69,91,92,35,85,372
44210,41,95,46,73,83,338
44211,86,87,98,67,54,392
44212,51,57,95,61,82,346
44213,58,48,50,91,94,341
44214,87,94,42,94,96,413
44215,46,68,91,52,63,320
44216,70,57,46,95,88,356
44217,68,78,74,42,59,321
44218,71,31,97,55,46,300
44219,81,96,34,36,53,300
44220,62,64,84,99,60,369
44221,92,51,84,39,83,349
44222,84,67,38,52,96,337
44223,89,60,59,80,58,346
44224,71,33,97,90,71,362
44225,40,78,80,77,100,375
44226,84,86,67,50,94,381
44227,72,97,44,30,91,334
44228,32,35,84,87,95,333
44229,55,39,95,37,77,303
44230,97,72,31,74,47,321
44231,72,98,99,44,38,351
44232,99,48,30,32,99,308
44233,85,65,32,46,87,315
44234,79,66,90,98,46,379
44235,30,49,81,57,37,254
44236,86,44,84,49,84,347
44237,52,87,59,74,56,328
44238,99,63,82,47,45,336
44239,72,93,48,68,55,336
44240,60,95,85,44,77,361
44241,80,54,70,79,51,334
44242,80,68,79,41,81,349
44243,55,47,95,54,54,305
44244,73,73,51,93,93,383
44245,56,61,32,41,89,279
44246,34,93,88,31,85,331
44247,54,38,63,92,75,322
44248,36,67,88,98,96,385
44249,57,67,37,93,46,300
44250,77,75,97,38,61,348
44251,77,53,56,55,44,285
44252,52,30,40,75,94,291
44253,66,40,82,100,59,347
44254,52,48,37,40,69,246
44255,58,87,31,91,61,328
44256,70,53,86,68,43,320
44257,62,40,86,62,39,289
44258,35,67,61,39,46,248
44259,81,56,81,61,75,354
44260,77,33,63,59,98,330
44261,57,54,82,53,99,345
44262,48,73,81,70,39,311
44263,99,75,85,61,89,409
44264,59,86,69,69,59,342
44265,61,93,43,38,53,288
44266,69,40,66,44,73,292
44267,87,57,49,67,91,351
44268,33,75,92,70,96,366
44269,41,43,33,83,70,270
44270,39,75,89,83,49,335
44271,57,41,63,96,67,324
44272,79,69,73,100,96,417
44273,37,43,48,96,87,311
44274,83,46,30,90,52,301
44275,92,95,65,69,77,398
44276,78,73,64,76,86,377
44277,80,71,76,93,74,394
44278,89,39,67,76,81,352
44279,47,53,74,96,59,329
44280,55,48,60,95,65,323
