RollNo,ML-TH,BT-TH,DAOA-TH,LP3-TH,LP4-TH,LP4-PR,PS-TW,Total
44301,84,83,100,56,80,45,38,486
44302,68,71,43,82,51,28,43,386
44303,48,72,68,67,100,40,49,444
44304,65,82,75,48,66,39,22,397
44305,49,67,57,74,55,40,47,389
44306,64,84,88,49,43,25,20,373
44307,73,42,67,69,68,48,25,392
44308,41,81,60,47,95,36,50,410
44309,68,78,99,67,92,50,23,477
44310,42,80,80,73,81,48,47,451
44311,76,56,83,65,60,22,47,409
44312,71,94,80,49,87,34,32,447
44313,71,69,43,91,62,47,49,432
44314,72,94,78,52,82,27,20,425
44315,78,81,90,95,93,24,41,502
44316,97,86,87,77,83,20,41,491
44317,68,51,82,59,67,25,21,373
44318,100,66,44,95,96,33,32,466
44319,47,63,56,46,57,38,50,357
44320,63,94,81,88,94,44,29,493
44321,78,66,63,88,79,30,44,448
44322,42,97,87,84,45,30,41,426
44323,49,94,97,68,60,25,23,416
44324,64,48,83,75,73,48,46,437
44325,86,96,81,45,87,28,46,469
44326,57,59,43,49,40,20,30,298
44327,79,94,83,74,64,24,30,448
44328,44,84,51,86,82,25,50,422
44329,100,82,71,79,51,33,48,464
44330,75,65,67,96,79,34,30,446
44331,96,55,80,72,80,24,20,427
44332,95,65,82,42,89,44,32,449
44333,85,71,77,55,94,34,36,452
44334,86,51,62,74,41,32,38,384
44335,51,64,44,47,67,31,39,343
44336,73,50,91,44,96,33,38,425
44337,44,73,97,46,84,46,43,433
44338,47,100,71,43,45,34,27,367
44339,97,96,71,90,79,31,25,489
44340,81,99,41,52,98,44,34,449
44341,44,88,92,40,58,31,44,397
44342,72,62,57,81,70,33,25,400
44343,48,100,75,53,79,33,23,411
44344,53,91,48,94,89,23,26,424
44345,95,96,78,99,95,24,45,532
44346,97,92,41,66,91,33,28,448
44347,90,52,87,72,75,44,42,462
44348,98,96,46,76,74,24,24,438
44349,100,71,76,99,92,28,37,503
44350,75,75,87,71,52,40,34,434
44351,49,42,70,98,59,28,36,382
44352,83,81,75,57,59,37,31,423
44353,80,91,68,85,68,33,39,464
44354,88,70,95,72,63,38,38,464
44355,95,70,48,82,47,38,46,426
44356,81,47,95,91,54,35,25,428
44357,93,76,95,47,57,27,31,426
44358,92,73,69,43,78,37,20,412
44359,88,87,68,78,82,28,44,475
44360,48,48,93,69,91,27,27,403
44361,89,89,67,76,55,35,31,442
44362,68,71,60,42,92,29,42,404
44363,95,55,64,72,92,35,21,434
44364,95,69,45,62,69,43,32,415
44365,88,88,58,66,60,46,32,438
44366,85,71,87,64,74,38,23,442
44367,94,80,92,42,56,33,42,439
44368,42,65,84,95,100,47,46,479
44369,68,99,76,51,82,31,29,436
44370,74,47,73,82,50,45,24,395
44371,77,81,96,99,81,42,40,516
44372,72,85,65,57,61,32,47,419
44373,62,65,48,41,53,43,34,346
44374,89,89,98,54,79,48,23,480
44375,48,40,87,76,88,23,44,406
44376,77,80,76,59,87,21,36,436
44377,74,88,82,85,94,30,28,481
44378,59,74,64,40,77,38,29,381
44379,69,81,64,78,51,42,44,429
44380,67,40,65,72,68,37,39,388
