RollNo,HPC-TH,DL-TH,LP5-TH,LP6-TH,PS-TW,Total, , .1, .2
44101,47,51,62,77,44,281,0.0,0.0,0.0
44102,81,71,71,59,35,317,0.0,0.0,0.0
44103,53,55,94,59,41,302,0.0,0.0,0.0
44104,82,100,72,62,33,349,0.0,0.0,0.0
44105,93,53,99,62,31,338,0.0,0.0,0.0
44106,90,76,61,76,36,339,0.0,0.0,0.0
44107,80,54,61,94,41,330,0.0,0.0,0.0
44108,86,85,81,86,46,384,0.0,0.0,0.0
44109,55,79,67,91,47,339,0.0,0.0,0.0
44110,94,91,65,99,37,386,0.0,0.0,0.0
44111,95,89,69,54,32,339,0.0,0.0,0.0
44112,86,52,84,69,48,339,0.0,0.0,0.0
44113,98,56,98,82,47,381,0.0,0.0,0.0
44114,91,53,89,88,38,359,0.0,0.0,0.0
44115,80,99,95,82,34,390,0.0,0.0,0.0
44116,93,66,78,54,48,339,0.0,0.0,0.0
44117,55,62,81,95,43,336,0.0,0.0,0.0
44118,96,95,75,93,35,394,0.0,0.0,0.0
44119,73,78,87,89,40,367,0.0,0.0,0.0
44120,60,61,53,90,35,299,0.0,0.0,0.0
44121,74,75,96,86,45,376,0.0,0.0,0.0
44122,98,80,89,68,31,366,0.0,0.0,0.0
44123,61,55,78,54,32,280,0.0,0.0,0.0
44124,50,99,74,74,40,337,0.0,0.0,0.0
44125,52,56,85,86,47,326,0.0,0.0,0.0
44126,63,65,69,82,49,328,0.0,0.0,0.0
44127,61,64,56,96,43,320,0.0,0.0,0.0
44128,57,93,75,57,39,321,0.0,0.0,0.0
44129,80,67,55,78,50,330,0.0,0.0,0.0
44130,68,85,62,87,31,333,0.0,0.0,0.0
44131,65,90,79,83,40,357,0.0,0.0,0.0
44132,65,56,58,82,33,294,0.0,0.0,0.0
44133,68,93,100,96,31,388,0.0,0.0,0.0
44134,50,80,80,61,47,318,0.0,0.0,0.0
44135,99,81,74,67,40,361,0.0,0.0,0.0
44136,53,100,55,62,40,310,0.0,0.0,0.0
44137,63,98,75,93,38,367,0.0,0.0,0.0
44138,56,84,67,77,34,318,0.0,0.0,0.0
44139,81,74,90,81,41,367,0.0,0.0,0.0
44140,94,83,89,87,47,400,0.0,0.0,0.0
44141,60,90,53,97,48,348,0.0,0.0,0.0
44142,65,67,71,51,31,285,0.0,0.0,0.0
44143,88,63,54,58,30,293,0.0,0.0,0.0
44144,82,64,56,81,50,333,0.0,0.0,0.0
44145,73,53,85,100,47,358,0.0,0.0,0.0
44146,66,64,71,56,37,294,0.0,0.0,0.0
44147,95,71,69,56,40,331,0.0,0.0,0.0
44148,93,59,97,92,35,376,0.0,0.0,0.0
44149,61,99,76,98,45,379,0.0,0.0,0.0
44150,66,72,95,76,43,352,0.0,0.0,0.0
44151,77,53,72,72,35,309,0.0,0.0,0.0
44152,98,87,75,86,47,393,0.0,0.0,0.0
44153,92,80,86,73,45,376,0.0,0.0,0.0
44154,95,56,62,85,47,345,0.0,0.0,0.0
44155,99,87,51,71,41,349,0.0,0.0,0.0
44156,93,56,73,67,35,324,0.0,0.0,0.0
44157,67,62,93,92,43,357,0.0,0.0,0.0
44158,58,96,67,57,36,314,0.0,0.0,0.0
44159,81,86,57,65,32,321,0.0,0.0,0.0
44160,72,84,61,63,41,321,0.0,0.0,0.0
44161,57,77,99,85,43,361,0.0,0.0,0.0
44162,60,50,70,81,36,297,0.0,0.0,0.0
44163,93,100,96,60,46,395,0.0,0.0,0.0
44164,83,58,90,57,33,321,0.0,0.0,0.0
44165,95,78,82,81,50,386,0.0,0.0,0.0
44166,50,96,60,59,35,300,0.0,0.0,0.0
44167,57,69,71,54,50,301,0.0,0.0,0.0
44168,95,56,78,90,38,357,0.0,0.0,0.0
44169,93,71,76,73,47,360,0.0,0.0,0.0
44170,55,81,71,59,39,305,0.0,0.0,0.0
44171,77,74,84,85,44,364,0.0,0.0,0.0
44172,55,64,98,56,40,313,0.0,0.0,0.0
44173,70,59,71,91,43,334,0.0,0.0,0.0
44174,70,87,60,98,47,362,0.0,0.0,0.0
44175,75,65,70,82,33,325,0.0,0.0,0.0
44176,86,74,92,60,43,355,0.0,0.0,0.0
44177,76,82,67,96,31,352,0.0,0.0,0.0
44178,58,60,55,89,33,295,0.0,0.0,0.0
44179,69,79,93,85,39,365,0.0,0.0,0.0
44180,51,95,75,62,39,322,0.0,0.0,0.0
