RollNo,DS-TH,FDSA-TH,OOP-TH,LDCO-TH,DS-PR,LDCO-PR,DE-PR,BCS-PR,Total
22301,82,78,99,62,49,47,44,46,507
22302,75,93,99,46,48,44,45,42,492
22303,86,47,49,47,44,43,41,49,406
22304,87,80,89,72,43,43,50,47,511
22305,47,85,49,83,49,40,41,47,441
22306,40,90,41,48,46,47,44,41,397
22307,97,66,61,66,46,50,41,47,474
22308,100,81,59,100,47,48,47,40,522
22309,82,40,40,89,43,46,42,48,430
22310,73,84,96,74,42,42,46,41,498
22311,97,57,57,65,43,44,45,44,452
22312,85,60,64,74,41,43,49,46,462
22313,75,52,74,58,49,45,50,48,451
22314,95,91,73,59,45,42,43,43,491
22315,47,54,70,98,45,44,45,45,448
22316,51,56,62,68,42,45,47,48,419
22317,71,59,93,53,50,48,45,47,466
22318,40,48,88,44,49,46,42,43,400
22319,83,55,61,45,46,41,45,42,418
22320,77,83,94,92,40,50,46,42,524
22321,95,98,85,93,45,41,48,46,551
22322,42,58,49,62,48,46,42,48,395
22323,71,69,53,71,46,49,45,43,447
22324,51,87,58,83,46,43,44,49,461
22325,60,61,77,78,41,42,48,44,451
22326,64,83,68,51,48,48,40,42,444
22327,81,60,77,92,49,45,45,47,496
22328,70,61,62,70,48,47,45,48,451
22329,60,80,68,52,48,43,48,44,443
22330,96,62,83,49,49,42,41,50,472
22331,46,77,60,99,50,45,46,45,468
22332,93,79,86,47,49,47,45,45,491
22333,100,75,95,70,47,43,50,47,527
22334,68,49,41,54,44,44,48,47,395
22335,90,81,76,60,48,40,48,40,483
22336,79,72,76,78,47,42,48,48,490
22337,43,94,42,46,46,42,50,50,413
22338,85,78,43,95,43,44,42,46,476
22339,100,93,78,93,40,44,44,41,533
22340,81,89,52,68,42,42,46,42,462
22341,60,76,57,58,40,43,49,43,426
22342,89,90,72,99,41,48,49,48,536
22343,83,84,56,67,44,45,44,46,469
22344,85,71,82,63,50,48,45,47,491
22345,82,81,50,41,41,47,40,44,426
22346,69,77,41,53,50,49,42,42,423
22347,76,87,61,58,50,45,46,49,472
22348,100,82,66,78,42,46,46,49,509
22349,51,59,48,58,43,45,40,44,388
22350,45,82,44,44,42,40,45,40,382
22351,86,45,56,84,42,42,41,41,437
22352,82,93,71,56,50,50,43,43,488
22353,52,73,56,87,50,47,50,46,461
22354,67,89,68,100,42,44,44,50,504
22355,91,51,78,71,41,49,43,46,470
22356,50,83,75,88,48,40,42,41,467
22357,61,78,46,94,48,44,47,45,463
22358,83,49,63,79,50,49,45,46,464
22359,95,72,47,88,48,47,40,40,477
22360,91,47,96,46,43,48,45,50,466
22361,73,71,55,51,46,45,43,45,429
22362,81,100,96,75,42,50,47,48,539
22363,87,89,97,94,45,41,43,47,543
22364,58,84,74,78,50,49,50,49,492
22365,86,89,66,88,44,50,43,41,507
22366,98,74,47,59,42,40,48,44,452
22367,44,93,76,93,48,50,42,49,495
22368,86,50,57,58,46,50,44,46,437
22369,75,53,57,92,42,44,45,50,458
22370,84,90,43,43,43,49,45,45,442
22371,53,99,96,78,49,44,43,45,507
22372,52,93,71,98,40,47,41,44,486
22373,68,44,74,93,49,48,40,45,461
22374,45,95,87,89,49,50,49,49,513
22375,87,60,81,70,41,40,46,44,469
22376,42,90,88,79,47,49,48,43,486
22377,100,45,88,72,50,44,41,46,486
22378,57,95,99,95,50,42,40,50,528
22379,51,74,41,87,49,47,43,47,439
22380,98,80,85,45,42,43,47,45,485
