RollNo,DBMS-TH,TOC-TH,SPOS-TH,CNS-TH,LP1-TH,DBMS-PR,CNS-PR,LP1-PR,STC-TW,Total
33201,71,73,73,83,84,74,98,34,44,634
33202,90,51,53,70,57,72,99,30,32,554
33203,56,67,81,63,71,67,51,37,47,540
33204,61,94,74,86,77,52,99,42,38,623
33205,93,81,73,54,81,60,93,34,31,600
33206,63,87,53,62,71,85,54,46,45,566
33207,84,88,65,99,86,90,86,39,47,684
33208,84,83,62,83,92,58,57,32,34,585
33209,78,77,70,70,73,63,73,49,38,591
33210,88,100,66,77,71,90,81,45,49,667
33211,67,61,78,62,96,53,73,46,48,584
33212,53,74,95,100,85,63,91,35,32,628
33213,80,87,64,61,76,97,98,47,41,651
33214,57,83,73,97,73,97,83,37,41,641
33215,70,87,53,59,85,54,91,47,30,576
33216,92,56,64,77,58,79,51,47,50,574
33217,52,74,92,54,93,65,90,30,34,584
33218,54,87,92,94,99,67,55,31,46,625
33219,100,53,51,69,68,53,54,44,44,536
33220,76,85,87,92,78,54,60,44,33,609
33221,59,84,50,55,83,95,69,46,42,583
33222,70,95,54,80,54,98,98,45,36,630
33223,71,62,78,85,94,58,80,35,48,611
33224,59,85,75,50,68,89,53,39,40,558
33225,83,56,60,78,69,74,57,40,50,567
33226,66,99,69,85,98,84,88,38,35,662
33227,66,80,53,62,62,90,58,33,40,544
33228,78,85,99,86,63,81,53,48,38,631
33229,71,60,62,58,92,84,71,46,38,582
33230,69,87,71,60,74,94,94,37,39,625
33231,78,69,94,86,89,86,67,35,33,637
33232,96,57,92,90,86,91,65,44,31,652
33233,92,82,52,95,63,63,66,31,44,588
33234,58,67,74,70,72,85,77,30,32,565
33235,62,78,87,82,71,91,79,32,44,626
33236,94,74,66,85,74,93,54,39,49,628
33237,96,87,89,97,79,77,71,35,36,667
33238,74,55,99,63,89,62,97,48,49,636
33239,99,93,83,63,53,58,78,45,41,613
33240,98,79,92,73,97,54,57,36,46,632
33241,90,58,52,65,97,94,91,50,41,638
33242,70,74,63,69,86,94,51,48,36,591
33243,66,97,86,92,56,51,55,50,32,585
33244,70,68,76,78,51,82,94,44,45,608
33245,98,96,72,72,78,51,64,40,43,614
33246,75,64,53,63,85,70,61,31,43,545
33247,67,93,92,92,70,76,73,31,34,628
33248,62,53,55,91,56,79,100,45,41,582
33249,90,76,82,74,86,94,90,49,48,689
33250,98,93,87,79,78,98,71,41,48,693
33251,87,74,53,75,88,60,93,46,44,620
33252,79,97,67,66,81,71,75,42,40,618
33253,67,54,62,78,61,100,73,33,43,571
33254,52,54,73,73,71,99,82,34,44,582
33255,55,84,93,53,68,94,61,31,43,582
33256,84,60,64,50,55,92,89,34,46,574
33257,87,77,96,89,88,80,71,39,30,657
33258,74,81,92,59,84,55,81,37,43,606
33259,72,79,91,79,86,53,69,34,33,596
33260,98,70,80,63,95,57,79,31,43,616
33261,69,77,86,96,53,59,83,37,34,594
33262,77,74,98,65,66,91,97,31,32,631
33263,64,57,76,72,67,54,55,42,45,532
33264,85,100,78,82,81,99,98,39,38,700
33265,67,60,74,85,81,55,68,35,47,572
33266,94,70,91,59,75,67,81,30,32,599
33267,55,94,58,61,90,54,87,30,40,569
33268,55,83,59,78,98,76,89,35,39,612
33269,52,70,67,52,68,74,83,32,34,532
33270,71,50,66,53,87,80,84,46,40,577
33271,66,88,93,57,70,98,82,30,47,631
33272,76,74,62,92,77,82,55,42,37,597
33273,75,99,55,51,94,87,78,42,41,622
33274,67,61,63,67,93,85,75,46,33,590
33275,83,89,80,98,87,87,85,50,42,701
33276,60,94,75,67,63,92,74,38,49,612
33277,51,100,84,93,72,71,88,36,31,626
33278,63,71,63,79,52,99,60,45,39,571
33279,58,94,87,56,76,64,96,36,36,603
33280,78,98,79,85,84,82,55,30,49,640
