RollNo,TOC-TH,OS-TH,ML-TH,HCI-TH,DAA,ADBMS,SEMINAR,HCIL-OR,LP-1 TW,LP1-PR,OSL-TW,OSL-PR,Total
33201,75,75,50,63,60,0.0,39,45,24,20,23,22,496
33202,70,50,61,72,84,0.0,46,43,22,16,24,18,506
33203,72,71,85,71,41,0.0,44,46,23,16,22,22,513
33204,76,78,55,80,77,0.0,44,46,22,16,24,22,540
33205,43,73,58,66,0,69.0,37,41,22,24,23,22,478
33206,81,62,46,66,44,0.0,49,46,21,20,23,20,478
33207,84,88,46,61,40,0.0,46,46,24,18,24,22,499
33208,72,46,87,88,54,0.0,35,43,22,16,23,20,506
33209,69,62,67,71,0,83.0,36,41,24,15,24,20,512
33210,61,47,51,86,42,0.0,39,39,23,20,23,22,453
33211,58,68,69,50,44,0.0,50,47,23,18,24,19,470
33212,61,78,63,69,84,0.0,45,40,22,24,24,21,531
33213,49,73,88,62,0,41.0,38,43,22,17,21,20,474
33214,66,87,71,60,82,0.0,50,39,20,23,21,19,538
33215,62,53,45,66,77,0.0,35,43,22,24,24,18,469
33216,44,65,83,74,49,0.0,50,43,24,21,21,20,494
33217,74,87,45,55,65,0.0,36,49,20,17,21,19,488
33218,74,80,74,89,0,53.0,49,41,24,19,24,20,547
33219,49,47,49,47,52,0.0,48,48,24,19,22,22,427
33220,66,50,73,91,84,0.0,38,48,20,19,21,21,531
33221,43,45,52,92,0,78.0,36,48,22,23,22,19,480
33222,70,60,85,82,57,0.0,41,45,22,16,23,23,524
33223,70,53,54,73,40,0.0,44,49,21,22,23,22,471
33224,51,82,48,82,73,0.0,45,46,22,15,22,23,509
33225,82,56,46,87,0,56.0,43,47,20,17,24,19,497
33226,55,45,68,69,0,66.0,41,47,23,19,24,24,481
33227,73,64,77,85,54,0.0,46,41,24,22,23,22,531
33228,84,68,52,65,51,0.0,43,49,24,17,24,20,497
33230,59,61,82,82,50,0.0,41,44,22,18,23,23,505
33231,78,49,77,78,61,0.0,48,45,23,20,23,18,520
33232,53,58,49,48,42,0.0,45,46,22,24,24,19,430
33232,76,46,71,79,49,0.0,39,40,21,18,24,22,485
33233,83,85,53,83,59,0.0,46,49,22,24,21,18,543
33234,55,54,88,66,71,0.0,46,39,20,15,24,19,497
33235,49,80,66,70,67,0.0,43,41,22,21,23,24,506
33236,57,80,58,73,0,55.0,35,43,24,22,23,20,490
33237,56,76,84,59,0,89.0,36,41,20,18,24,19,522
33238,44,79,59,52,40,0.0,49,44,22,16,22,21,448
33239,53,63,47,74,43,0.0,42,44,21,17,21,21,446
33240,64,67,79,82,0,89.0,42,49,23,16,23,19,553
33241,46,80,72,92,70,0.0,40,38,23,23,21,21,526
33242,61,67,63,86,0,80.0,39,41,22,22,21,18,520
33243,64,89,84,69,51,0.0,49,41,23,21,24,19,534
33244,63,75,63,70,52,0.0,38,39,20,16,23,23,482
33245,72,68,73,78,69,0.0,40,49,23,15,22,19,528
33246,77,59,59,81,72,0.0,50,46,20,23,23,19,529
33247,84,54,80,54,55,0.0,36,48,21,17,22,18,489
33248,54,62,79,84,0,79.0,42,39,24,23,23,18,527
33249,83,72,63,77,75,0.0,44,46,24,17,24,19,544
33250,80,48,55,84,79,0.0,50,47,22,22,23,24,534
33251,0,0,0,0,0,0.0,0,0,0,0,0,0,0
33252,54,62,56,71,0,68.0,41,46,24,22,22,21,487
33253,80,66,70,64,78,0.0,40,39,24,20,23,22,526
33254,70,78,83,92,69,0.0,37,47,23,24,22,23,568
33255,69,78,88,54,47,0.0,35,49,23,20,24,23,510
33256,66,79,71,51,71,0.0,39,47,22,20,23,20,509
33257,78,64,89,64,61,0.0,36,39,22,23,24,23,523
33258,62,61,60,50,0,45.0,45,38,23,20,22,20,446
33259,78,86,69,80,50,0.0,43,43,23,15,22,24,533
33260,57,45,52,83,80,0.0,36,42,23,18,21,20,477
33261,51,81,59,49,41,0.0,44,39,24,18,22,24,452
33262,69,74,82,73,52,0.0,44,41,24,15,22,24,520
33263,50,59,70,49,0,88.0,45,45,23,21,23,20,493
33264,49,62,87,53,73,0.0,39,47,20,24,23,21,498
33265,62,88,58,60,53,0.0,36,48,20,21,23,22,491
33266,74,68,55,89,46,0.0,40,42,21,19,24,22,500
33267,74,84,88,47,55,0.0,38,49,24,24,21,21,525
33268,71,51,61,91,0,69.0,50,45,21,22,24,21,526
33269,48,53,55,75,73,0.0,38,46,24,23,24,20,479
33270,71,68,49,51,81,0.0,45,46,23,16,24,20,494
33271,60,82,45,68,0,56.0,50,45,22,23,24,24,499
33272,45,45,86,77,48,0.0,48,48,22,19,24,18,480
33273,80,71,88,67,75,0.0,40,40,22,20,24,20,547
33274,58,78,55,76,54,0.0,36,44,22,18,21,23,485
33275,52,49,51,55,0,89.0,41,39,23,20,21,21,461
33276,65,75,77,50,69,0.0,39,46,20,18,23,24,506
33277,51,52,45,57,76,0.0,50,46,20,20,22,19,458
33278,72,49,61,93,52,0.0,38,48,23,21,22,19,498
33279,84,57,53,55,73,0.0,46,40,23,15,21,18,485
33280,46,73,50,51,85,0.0,37,41,23,24,23,20,473
33281,55,66,75,48,85,0.0,35,46,22,16,24,18,490
33282,61,82,85,52,48,0.0,43,44,21,16,21,23,496
