RollNo,I&SR-TH,SPM-TH,DP-TH,HPC-TH,WC-TH,LP3-TW,LP3-OR,LP4-TW,LP4-PR,PS1-TW,Total
43201,50,71,89,41,46,21,23,23,17,36,417
43202,83,72,59,59,71,24,22,22,23,40,475
43203,70,66,91,61,87,23,21,23,19,41,502
43204,72,59,78,82,55,23,22,22,18,49,480
43205,57,50,91,63,89,24,18,21,18,44,475
43206,66,82,78,93,82,24,22,24,22,49,542
43207,52,64,84,47,93,24,22,23,15,40,464
43208,85,78,72,0,54,21,23,20,20,49,422
43209,85,66,73,86,68,21,19,20,0,39,477
43210,46,47,79,82,50,23,21,24,23,45,440
43211,63,68,75,70,61,23,16,22,20,43,461
43212,80,75,78,93,59,24,21,23,16,45,514
43213,49,48,60,88,66,24,21,20,19,49,444
43214,71,87,79,69,89,21,16,21,22,41,516
43215,76,0,80,53,85,24,19,22,15,50,424
43216,57,48,72,60,54,23,15,20,17,43,409
43217,79,68,77,44,91,22,15,22,17,50,485
43218,89,85,84,81,63,23,15,20,16,39,515
43219,79,53,75,62,45,21,21,23,16,44,439
43220,69,51,91,72,46,22,18,24,20,38,451
43221,89,46,81,92,83,24,21,23,20,41,520
43222,66,52,69,81,0,22,0,24,18,38,370
43223,61,54,74,78,91,24,21,20,22,44,489
43224,86,52,71,82,44,24,19,22,17,49,466
43225,55,43,73,62,48,23,15,22,16,38,395
43226,63,69,79,51,86,22,17,22,16,42,467
43227,87,49,91,46,86,22,18,21,16,46,482
43228,76,77,46,66,90,23,22,23,19,39,481
43229,63,44,55,87,63,22,18,21,15,43,431
43230,74,41,55,49,91,22,18,22,20,40,432
43231,54,57,81,56,69,24,20,21,17,35,434
43232,53,45,45,44,83,21,18,24,18,48,399
43233,84,60,59,81,81,22,21,21,16,38,483
43234,0,57,48,49,87,23,23,23,17,41,368
43235,56,74,44,42,69,23,22,22,23,42,417
43236,62,77,86,87,43,24,20,23,22,46,490
43237,86,53,63,73,45,22,19,23,16,39,439
43238,75,63,80,75,81,24,19,21,22,36,496
43239,78,79,86,77,83,24,16,20,23,49,535
43240,88,65,69,93,54,24,17,22,15,46,493
43241,68,80,54,41,69,21,17,24,22,38,434
43242,55,71,57,66,56,21,0,21,23,50,420
43243,60,60,79,58,86,23,20,24,23,48,481
43244,76,55,43,0,66,24,20,22,19,38,363
43245,68,69,68,84,89,22,17,20,22,35,494
43246,76,61,48,43,65,22,16,23,22,48,424
43247,86,65,87,65,73,23,23,20,20,50,512
43248,52,56,43,41,84,22,21,20,21,41,401
43249,88,59,53,49,49,21,16,23,23,46,427
43250,76,66,79,91,43,23,22,23,17,46,486
43251,79,79,47,87,83,24,20,24,16,36,495
43252,62,61,55,57,46,23,17,24,19,38,402
43253,57,77,91,82,92,24,17,21,16,49,526
43254,53,86,50,54,60,24,23,21,21,49,441
43255,70,75,71,79,47,22,15,20,19,46,464
43256,63,72,60,90,78,21,18,22,21,49,494
43257,67,89,57,54,84,22,17,22,20,44,476
43258,64,50,48,68,67,24,16,23,21,47,428
43259,62,46,50,52,73,21,17,21,16,42,400
43260,65,85,74,52,59,23,19,24,15,41,457
43261,48,70,51,41,58,21,19,22,17,40,387
43262,67,55,82,66,89,24,16,23,22,40,484
43263,69,47,59,82,63,22,16,21,16,41,436
43264,65,48,85,62,81,21,22,24,18,36,462
43265,72,68,89,72,72,23,21,21,19,38,495
43266,52,48,79,47,51,22,23,22,17,37,398
43267,88,52,0,56,90,23,21,20,17,44,411
43268,74,50,49,65,67,22,21,20,23,41,432
43269,63,46,67,61,90,22,22,21,16,38,446
43270,85,42,58,73,44,23,22,22,21,42,432
43271,90,52,60,90,55,24,16,24,19,50,480
43272,85,73,80,82,73,21,19,22,20,45,520
43273,59,74,58,69,43,21,16,23,16,36,415
43274,77,79,70,91,88,21,22,21,16,39,524
43275,63,47,73,90,70,23,21,24,22,41,474
43276,47,50,75,45,82,24,17,24,20,36,420
43277,48,57,50,81,63,22,18,21,19,35,414
43278,76,65,51,82,49,24,21,20,15,44,447
43279,77,67,74,65,78,22,18,23,21,41,486
43280,0,66,56,76,47,23,19,24,16,50,377
