RollNo,DS-TH,NLP-TH,BT-TH,S&En - TW,LP5-TW,LP5-PR,LP6-TW,LP6-OR,Total
43301,55,88,65,39,42,20,23,31,363
43302,75,49,72,39,35,24,22,34,350
43303,85,68,72,44,49,23,24,45,410
43304,52,69,83,35,38,19,22,42,360
43305,95,54,50,48,46,20,22,38,373
43306,76,51,56,42,42,23,21,45,356
43307,54,49,64,37,43,24,23,44,338
43308,87,50,56,48,49,24,21,40,375
43309,68,77,52,41,35,19,24,36,352
43310,81,75,88,42,47,19,21,34,407
43311,85,78,87,46,39,23,24,40,422
43312,54,48,60,37,48,20,21,35,323
43313,51,72,54,38,38,20,23,31,327
43314,92,53,58,41,47,19,22,42,374
43315,46,69,94,45,37,21,21,36,369
43316,66,80,94,36,43,19,24,32,394
43317,60,63,67,36,47,22,24,41,360
43318,78,75,54,50,48,21,24,42,392
43319,0,63,80,44,47,19,22,36,311
43320,94,79,86,38,38,22,22,32,411
43321,93,75,69,41,40,19,23,45,405
43322,80,56,92,38,46,24,24,35,395
43323,56,51,70,41,40,19,23,32,332
43324,71,60,61,49,38,23,24,43,369
43325,55,72,83,39,46,23,21,32,371
43326,51,62,67,47,46,20,21,42,356
43327,77,91,85,48,47,23,23,35,429
43328,81,64,75,43,40,23,23,32,381
43329,64,56,75,38,37,24,21,41,356
43330,67,89,50,47,44,18,24,36,375
43331,61,58,66,44,39,21,23,44,356
43332,93,59,61,35,44,19,23,38,372
43333,58,61,77,50,48,22,22,41,379
43334,92,91,60,45,48,23,21,40,420
43335,56,54,71,49,45,22,24,35,356
43336,74,73,78,44,36,20,24,39,388
43337,72,68,91,38,40,21,22,43,395
43338,79,90,83,35,40,22,24,34,407
43339,57,57,0,39,50,24,23,31,281
43340,77,48,75,50,36,20,22,33,361
43341,46,66,58,36,44,23,21,37,331
43342,89,85,61,35,45,24,22,36,397
43343,91,73,59,40,46,21,24,40,394
43344,67,58,67,47,42,19,23,45,368
43345,51,88,70,48,39,22,23,42,383
43346,88,88,92,38,48,20,24,37,435
43347,54,70,92,35,35,21,23,36,366
43348,64,59,62,49,40,18,22,43,357
43349,80,65,54,35,37,22,24,31,348
43350,85,90,70,45,48,21,21,41,421
43351,55,81,69,43,45,18,24,31,366
43352,68,90,93,37,49,21,23,30,411
43353,71,68,92,42,38,24,23,30,388
43354,96,57,85,47,40,18,22,39,404
43355,47,87,50,43,35,24,23,39,348
43356,80,77,58,38,50,22,23,41,389
43357,53,0,65,44,44,24,23,34,287
43358,64,76,89,47,46,22,24,34,402
43359,56,75,94,44,50,19,23,33,394
43360,56,78,95,42,37,22,24,42,396
43361,77,87,66,43,50,21,23,39,406
43362,58,50,52,37,37,18,24,39,315
43363,92,80,87,47,44,23,23,42,438
43364,47,50,53,36,46,19,22,43,316
43365,0,61,90,50,43,24,22,44,334
43366,81,68,68,42,50,19,23,31,382
43367,47,48,60,50,39,24,22,33,323
43368,92,67,70,40,42,21,21,37,390
43369,74,66,57,35,50,19,23,45,369
43370,54,57,67,50,48,20,22,34,352
43371,83,77,60,38,43,21,22,36,380
43372,49,71,82,46,49,18,23,38,376
43373,87,93,56,37,40,19,23,45,400
43374,70,71,92,36,50,19,23,44,405
43375,53,59,55,46,48,21,21,34,337
43376,70,56,63,37,39,23,21,39,348
43377,67,73,63,41,40,19,22,36,361
43378,55,49,51,45,39,19,24,44,326
43379,58,52,51,47,41,19,22,45,335
43380,94,82,81,36,39,20,21,45,418
