RollNo,EM3-TH,PA-TH,DBMS-TH,CG-TH,SE-TH,PSDL-TW,PSDL-PR,DBMS-TW,DBMS-PR,CGL-TW,CGL-PR,EM3-TW,Total
22101,59,64,59,59,87,20,20,25,21,22,21,21,478
22102,55,89,73,65,72,20,22,21,16,22,21,23,499
22103,71,60,53,67,72,20,23,22,23,23,20,23,477
22104,57,78,89,51,85,25,24,22,25,24,21,21,522
22105,60,0,63,43,64,24,20,24,15,22,23,22,380
22106,68,81,65,81,90,24,18,20,25,22,20,23,537
22107,66,83,62,69,83,21,20,24,0,20,21,24,493
22108,88,82,89,69,83,20,18,24,16,23,20,23,555
22109,73,56,74,59,60,21,24,22,19,24,23,23,478
22110,55,45,59,69,63,20,20,21,17,23,20,22,434
22111,64,75,55,53,64,24,19,21,23,23,24,23,468
22112,58,71,61,0,88,21,22,25,16,21,25,25,433
22113,66,48,76,63,72,25,20,20,19,23,25,20,477
22114,62,78,57,72,83,20,18,22,16,21,24,20,493
22115,45,89,65,73,89,20,19,23,20,21,23,24,511
22116,75,77,54,52,56,24,20,24,16,20,22,24,464
22117,55,55,66,68,44,22,23,23,25,22,21,20,444
22118,64,86,75,68,76,24,23,23,17,24,20,24,524
22119,49,85,69,61,50,24,19,23,23,24,24,25,476
22120,62,75,60,46,74,22,24,23,18,25,23,25,477
22121,53,86,90,79,91,22,22,24,16,22,21,24,550
22122,0,46,84,44,73,22,24,24,16,25,25,25,408
22123,70,54,80,74,79,22,22,21,23,20,0,25,490
22124,67,46,79,88,95,24,23,22,19,20,20,23,526
22125,52,45,63,56,53,22,21,20,23,23,24,24,426
22126,76,58,54,44,90,24,21,20,23,22,22,22,476
22127,78,73,75,62,62,21,23,25,25,24,23,24,515
22128,72,78,57,60,75,20,24,22,20,23,23,21,495
22129,46,83,60,50,89,23,24,24,20,22,23,23,487
22130,82,65,77,77,83,20,21,20,25,22,23,24,539
22131,87,56,86,57,60,22,20,21,17,22,21,22,491
22132,62,67,64,44,76,23,23,22,23,20,24,22,470
22133,0,69,86,68,58,23,23,20,18,23,25,20,433
22134,69,58,69,51,76,25,18,20,24,22,24,21,477
22135,89,50,51,85,70,21,22,20,18,21,24,22,493
22136,54,49,55,46,48,24,18,24,19,24,22,20,403
22137,89,69,82,87,49,22,23,20,18,20,22,20,521
22138,72,89,90,77,59,24,18,23,25,21,22,20,540
22139,87,77,66,73,91,21,23,25,20,23,21,21,548
22140,67,59,63,51,0,22,24,25,21,20,25,20,397
22141,82,56,73,75,46,21,21,20,18,21,25,23,481
22142,72,63,83,61,68,23,20,25,16,20,24,23,498
22143,63,79,50,55,75,20,22,20,18,21,24,21,468
22144,44,77,60,68,65,20,21,25,20,23,25,24,472
22145,89,50,82,74,89,23,19,25,17,20,24,22,534
22146,60,68,0,70,53,23,21,25,17,22,20,24,403
22147,86,61,89,74,51,20,23,22,23,22,20,24,515
22148,74,59,77,61,49,20,24,22,24,20,24,24,478
22149,81,79,53,71,67,21,22,20,20,24,20,22,500
22150,74,74,82,67,87,24,24,24,15,24,21,23,539
22151,73,73,61,48,64,24,19,21,20,20,23,21,467
22152,59,84,59,53,46,20,24,25,18,24,23,20,455
22153,65,46,73,72,0,24,23,24,19,25,25,24,420
22154,74,54,75,62,54,24,20,24,20,24,22,21,474
22155,76,53,76,84,65,23,21,22,15,23,21,24,503
22156,54,71,83,55,49,24,23,22,19,23,22,20,465
22157,73,73,75,46,94,20,22,21,16,25,20,22,507
22158,53,66,73,67,58,23,20,23,17,23,20,20,463
22159,0,89,70,65,78,20,22,25,21,21,22,21,454
22160,63,81,75,44,77,20,20,21,20,22,23,24,490
22161,45,56,74,75,73,22,19,21,23,22,25,24,479
22162,45,57,56,77,57,25,19,25,19,23,22,22,447
22163,46,52,64,85,87,23,21,24,15,20,21,24,482
22164,50,63,84,77,55,20,19,20,24,23,23,24,482
22165,89,76,70,52,89,20,19,20,23,24,22,20,524
22166,64,73,82,70,90,24,19,24,16,21,25,24,532
22167,68,81,58,68,64,22,24,24,15,25,20,22,491
22168,45,57,67,66,86,23,21,23,22,23,21,23,477
22169,69,87,78,66,67,22,22,21,23,21,23,25,524
22170,77,76,66,76,83,24,22,25,25,25,20,21,540
22171,65,54,65,43,81,25,18,21,23,20,22,22,459
22172,53,59,59,45,44,25,24,20,20,21,21,25,416
22173,54,55,72,49,79,21,21,23,25,24,24,20,467
22174,54,49,70,45,68,25,24,20,20,23,24,22,444
