RollNo,DSBDA-TH,WAD-TH,AI-TH,LP2-TH,DSBDA-PR,WAD-PR,LP2-PR,INTERNSHIP,Total
33301,90,66,83,72,20,35,23,89,478
33302,79,66,65,90,20,47,36,60,463
33303,70,86,72,85,39,25,41,63,481
33304,100,77,99,65,31,47,40,66,525
33305,93,63,76,92,48,42,22,62,498
33306,77,73,65,77,43,37,33,74,479
33307,79,64,78,62,39,35,25,66,448
33308,97,91,74,73,36,41,20,87,519
33309,98,71,86,95,33,37,29,92,541
33310,72,65,80,88,34,21,34,93,487
33311,86,78,70,86,32,31,27,72,482
33312,71,89,84,74,29,20,47,65,479
33313,93,99,72,77,30,50,28,60,509
33314,71,68,78,77,23,27,50,100,494
33315,77,71,89,64,39,31,40,86,497
33316,88,66,82,99,50,24,31,63,503
33317,88,66,91,97,47,21,45,85,540
33318,90,98,83,71,20,37,22,64,485
33319,96,94,95,62,33,31,27,79,517
33320,99,92,75,94,20,42,30,74,526
33321,87,62,64,86,42,30,25,78,474
33322,100,68,81,70,31,46,39,82,517
33323,98,77,93,82,36,46,40,97,569
33324,60,93,85,72,43,22,32,66,473
33325,100,69,81,62,30,26,41,88,497
33326,88,85,81,97,27,38,27,64,507
33327,91,66,69,99,33,34,36,76,504
33328,82,61,98,69,38,36,47,63,494
33329,71,88,74,69,29,48,48,83,510
33330,84,100,93,92,47,36,28,91,571
33331,68,90,87,82,22,31,48,70,498
33332,84,81,88,83,31,38,29,77,511
33333,60,70,67,94,40,40,36,61,468
33334,60,69,70,70,21,22,26,64,402
33335,65,75,88,93,30,36,45,98,530
33336,69,86,87,71,26,50,41,97,527
33337,80,80,87,62,37,28,40,79,493
33338,66,61,84,85,44,25,43,99,507
33339,90,97,80,66,23,34,39,79,508
33340,79,94,90,73,46,28,30,86,526
33341,97,64,80,86,28,32,24,67,478
33342,63,63,64,69,42,37,35,69,442
33343,89,90,100,83,31,23,49,75,540
33344,83,94,69,69,49,48,42,62,516
33345,78,78,81,60,24,47,35,77,480
33346,88,81,61,89,34,27,34,81,495
33347,99,91,81,67,26,23,21,61,469
33348,93,83,98,60,25,30,33,94,516
33349,93,90,85,85,29,23,39,94,538
33350,62,64,63,95,23,29,44,68,448
33351,63,80,81,71,22,48,26,76,467
33352,78,62,84,81,25,28,42,98,498
33353,82,70,70,100,30,39,44,91,526
33354,88,78,76,99,24,22,43,75,505
33355,98,68,100,75,36,38,50,75,540
33356,86,70,96,71,50,23,29,75,500
33357,85,82,96,86,45,38,36,75,543
33358,90,100,91,100,40,32,50,84,587
33359,71,100,91,98,49,43,30,71,553
33360,88,100,61,94,21,23,50,89,526
33361,85,74,68,89,50,25,39,64,494
33362,100,78,93,76,46,49,24,98,564
33363,60,90,84,87,41,41,27,85,515
33364,69,81,96,82,50,26,29,63,496
33365,61,85,78,87,49,48,44,65,517
33366,64,94,64,64,40,32,38,100,496
33367,84,69,74,65,48,27,42,83,492
33368,66,65,82,75,22,35,36,67,448
33369,72,97,62,100,27,23,26,71,478
33370,96,63,65,63,20,25,21,100,453
33371,98,81,75,81,32,36,47,96,546
33372,62,90,86,85,34,20,38,100,515
33373,76,63,89,77,40,36,47,76,504
33374,68,87,68,65,42,44,31,81,486
33375,81,73,86,94,22,23,47,96,522
33376,86,73,82,71,28,31,26,90,487
33377,86,72,75,64,40,47,22,73,479
33378,71,89,67,78,50,28,36,97,516
33379,80,89,60,99,33,31,33,80,505
33380,82,61,88,89,49,39,25,88,521
