RollNo,DS-TH,NLP-TH,BT-TH,S&En - TW,LP5-TW,LP5-PR,LP6-TW,LP6-OR,Total
43101,48,47,54,43,45,19,20,41,317
43102,73,59,64,39,37,20,21,48,361
43103,69,66,92,49,42,23,20,47,408
43104,61,90,70,40,37,21,23,37,379
43105,86,72,0,36,49,24,22,47,336
43106,67,46,55,41,38,20,21,42,330
43107,64,78,72,43,49,21,21,38,386
43108,41,77,85,45,35,20,23,41,367
43109,45,46,82,36,47,19,22,46,343
43110,60,75,89,39,44,23,20,40,390
43111,89,87,68,40,42,21,21,37,405
43112,50,53,66,40,50,23,22,40,344
43113,51,59,52,38,40,21,22,41,324
43114,64,61,49,36,36,20,25,46,337
43115,85,84,68,48,42,19,25,38,409
43116,41,61,83,41,46,21,21,42,356
43117,85,67,89,40,40,19,25,46,411
43118,50,50,86,50,48,18,22,42,366
43119,56,49,75,42,37,19,23,48,349
43120,45,45,79,37,40,21,22,48,337
43121,66,63,63,44,50,23,23,37,369
43122,75,44,51,39,44,18,21,45,337
43123,81,64,56,36,36,18,20,48,359
43124,0,53,85,47,38,20,21,45,309
43125,62,60,53,36,41,24,21,36,333
43126,59,77,55,44,36,19,24,48,362
43127,75,63,61,46,40,19,22,38,364
43128,44,57,58,39,41,18,20,36,313
43129,66,87,74,45,35,23,20,35,385
43130,54,82,96,42,43,24,25,44,410
43131,41,45,73,50,39,20,25,43,336
43132,40,92,58,39,40,20,21,37,347
43133,41,42,84,39,40,22,25,38,331
43134,87,77,67,39,50,20,21,40,401
43135,78,47,57,41,35,23,22,47,350
43136,85,85,61,40,41,23,20,36,391
43137,68,44,66,36,43,18,23,47,345
43138,83,57,60,35,36,20,22,39,352
43139,64,49,48,39,45,21,20,43,329
43140,58,62,47,37,40,22,20,41,327
43141,68,81,55,38,50,23,21,35,371
43142,82,73,60,46,38,23,24,44,390
43143,83,80,96,43,39,20,22,47,430
43144,68,63,58,35,45,24,24,35,352
43145,82,43,82,44,35,19,22,40,367
43146,74,79,67,43,38,24,20,40,385
43147,54,61,53,49,38,24,20,43,342
43148,70,80,82,50,39,21,22,35,399
43149,84,52,61,46,38,20,21,35,357
43150,48,91,88,46,36,22,22,35,388
43151,75,68,86,37,47,21,21,37,392
43152,64,81,70,42,36,23,21,48,385
43153,76,80,87,45,42,19,23,47,419
43154,48,89,73,49,40,20,21,36,376
43155,0,91,55,46,41,23,23,36,315
43156,85,54,90,38,36,20,24,41,388
43157,83,55,52,49,46,23,22,35,365
43158,84,60,64,36,40,22,25,44,375
43159,70,59,85,36,44,19,22,44,379
43160,48,65,0,37,48,19,24,41,282
43161,54,50,95,45,49,23,20,38,374
43162,43,92,66,38,48,20,22,45,374
43163,53,79,91,50,40,18,20,42,393
43164,72,58,51,43,47,24,24,47,366
43165,76,58,60,49,38,20,24,47,372
43166,62,79,79,50,37,19,22,45,393
43167,65,69,56,36,45,23,25,36,355
43168,48,57,43,42,45,23,22,47,327
43169,64,46,74,42,45,18,22,45,356
43170,63,60,77,38,41,24,20,41,364
43171,87,52,45,44,37,24,21,46,356
43172,75,72,48,44,37,22,23,47,368
43173,65,61,78,48,48,21,22,38,381
43174,85,68,66,41,41,21,22,35,379
43175,47,0,57,36,38,19,20,48,265
43176,53,47,49,49,37,18,21,42,316
43177,83,76,53,35,43,23,22,48,383
43178,55,92,86,37,44,18,24,44,400
43179,78,61,69,46,39,20,20,43,376
43180,67,63,47,46,39,21,21,45,349
