RollNo,DSBDA-TH,WAD-TH,AI-TH,LP2-TH,DSBDA-PR,WAD-PR,LP2-PR,INTERNSHIP,Total
33301,90,91,63,96,23,15,31,93,502
33302,99,51,73,48,20,24,28,94,437
33303,69,52,49,59,12,21,27,63,352
33304,85,49,97,94,22,43,50,90,530
33305,57,52,89,54,17,43,23,74,409
33306,82,64,73,43,41,12,42,64,421
33307,44,65,63,78,18,31,18,73,390
33308,65,65,75,86,17,19,29,87,443
33309,88,79,67,73,15,45,50,88,505
33310,71,50,89,57,12,15,26,72,392
33311,54,86,58,74,15,26,32,71,416
33312,69,81,46,95,41,37,18,65,452
33313,95,50,86,58,12,44,36,75,456
33314,60,100,54,85,29,45,44,83,500
33315,77,55,89,81,50,36,47,80,515
33316,51,41,90,73,11,10,42,78,396
33317,53,48,80,63,37,38,50,60,429
33318,94,45,51,41,10,37,28,79,385
33319,93,65,63,46,34,22,50,78,451
33320,40,81,99,55,48,28,40,90,481
33321,43,60,62,56,29,38,41,88,417
33322,98,100,96,95,32,16,34,69,540
33323,77,57,46,62,23,21,18,90,394
33324,79,47,46,66,32,17,21,95,403
33325,95,73,46,50,38,20,26,87,435
33326,52,50,51,62,14,35,26,82,372
33327,71,56,52,91,24,50,48,74,466
33328,49,43,41,87,50,17,37,97,421
33329,58,71,42,60,28,39,14,65,377
33330,52,43,70,71,17,46,26,88,413
33331,75,100,54,100,32,21,30,85,497
33332,73,62,99,74,35,14,31,62,450
33333,58,69,53,50,36,18,12,61,357
33334,83,52,76,77,15,28,49,60,440
33335,49,71,84,99,15,15,13,96,442
33336,86,46,80,72,49,11,32,93,469
33337,40,92,60,55,38,14,40,63,402
33338,49,85,69,97,37,40,25,68,470
33339,95,69,79,78,38,17,20,76,472
33340,42,58,71,69,32,28,46,84,430
33341,62,74,67,69,45,32,20,61,430
33342,65,66,90,96,48,18,39,63,485
33343,57,92,88,66,37,13,49,99,501
33344,72,93,100,46,28,12,40,74,465
33345,46,53,99,42,30,26,42,97,435
33346,84,85,69,76,37,22,26,67,466
33347,95,41,47,77,31,17,41,86,435
33348,43,55,89,49,40,38,18,89,421
33349,93,48,84,93,23,18,25,65,449
33350,67,65,41,44,10,10,37,99,373
33351,48,70,92,47,33,30,50,79,449
33352,90,90,56,67,44,27,43,99,516
33353,75,63,58,46,28,22,37,85,414
33354,78,64,48,78,39,28,22,62,419
33355,96,66,54,44,26,22,18,83,409
33356,82,71,66,96,32,41,15,95,498
33357,59,70,90,71,37,26,46,88,487
33358,76,88,87,89,39,24,33,81,517
33359,55,45,54,42,39,45,43,91,414
33360,77,94,100,81,14,25,46,61,498
33361,62,64,40,82,39,28,13,81,409
33362,58,93,77,82,11,47,35,77,480
33363,79,81,86,89,17,39,28,73,492
33364,57,93,91,41,47,32,16,85,462
33365,85,97,86,68,43,13,32,99,523
33366,77,45,46,47,44,27,15,71,372
33367,49,84,58,70,22,23,28,71,405
33368,41,79,76,46,36,32,45,85,440
33369,72,76,63,73,30,46,15,88,463
33370,85,68,48,68,31,19,16,79,414
33371,50,51,96,66,47,29,18,74,431
33372,96,72,53,46,27,38,17,67,416
33373,92,79,68,91,26,25,23,80,484
33374,50,74,54,69,36,49,49,68,449
33375,72,61,79,79,42,17,18,62,430
33376,58,59,92,49,46,41,18,96,459
33377,96,62,77,77,25,23,38,72,470
33378,46,69,81,47,17,49,37,72,418
33379,48,41,82,61,14,26,40,89,401
33380,84,44,71,54,42,23,34,86,438
