RollNo,M3-TH,DSA-TH,SE-TH,PSDL-TH,DSA-PR,PBL-PR,Total
22301,88,82,60, ,46,41,317
22302,52,82,56,51,44,40,325
22303,71,75,78,68,34,41,367
22304,62,66,85,98,41,46,398
22305,68,86,94,89,34,46,417
22306,97,99,63,56,35,43,393
22307,82,52,95,60,37,39,365
22308,92,74,86,78,40,33,403
22309,79,50,96,67,40,33,365
22310,88,98,86,79,30,42,423
22311,63,99,56,79,49,39,385
22312,64,50,71,50,35,32,302
22313,59,79,88,86,48,42,402
22314,85,51,85,76,30,46,373
22315,70,73,50,69,44,36,342
22316,60,59,71,82,32,42,346
22317,51,50,98,82,49,35,365
22318,84,79,52,70,37,44,366
22319,85,64,60,85,44,50,388
22320,81,94,54,81,38,46,394
22321,89,63,77,50,43,34,356
22322,71,73,100,75,47,37,403
22323,91,93,56,55,40,40,375
22324,87,57,94,67,31,42,378
22325,86,98,78,51,43,32,388
22326,91,73,95,54,34,37,384
22327,89,90,59,68,42,44,392
22328,100,83,84,52,48,37,404
22329,96,84,70,67,32,38,387
22330,64,66,54,94,36,49,363
22331,62,64,72,75,33,33,339
22332,88,60,79,76,40,33,376
22333,89,96,84,76,44,48,437
22334,84,95,83,96,42,32,432
22335,93,99,78,72,33,40,415
22336,99,54,61,70,32,50,366
22337,77,85,95,54,38,41,390
22338,67,78,72,92,44,34,387
22339,97,98,95,60,40,38,428
22340,62,97,67,57,46,50,379
22341,66,59,86,98,39,30,378
22342,67,94,93,80,36,39,409
22343,91,58,63,63,47,43,365
22344,75,82,65,50,47,44,363
22345,61,91,97,50,35,41,375
22346,83,97,81,59,39,47,406
22347,66,89,96,65,47,50,413
22348,59,65,94,61,45,34,358
22349,55,50,61,53,32,42,293
22350,92,97,61,55,39,32,376
22351,88,61,63,82,30,35,359
22352,57,95,97,56,42,44,391
22353,69,54,90,100,35,46,394
22354,79,80,90,55,36,39,379
22355,60,72,59,68,33,36,328
22356,58,89,91,59,37,33,367
22357,78,96,53,63,42,31,363
22358,82,63,87,81,48,48,409
22359,99,97,57,53,38,40,384
22360,62,77,81,98,34,50,402
22361,79,71,87,63,35,33,368
22362,53,50,91,56,50,34,334
22363,88,97,64,70,44,34,397
22364,81,94,84,55,32,38,384
22365,59,81,60,64,42,42,348
22366,98,97,87,78,36,46,442
22367,61,93,52,93,34,37,370
22368,54,81,74,61,42,41,353
22369,84,85,59,68,36,47,379
22370,71,77,75,99,34,48,404
22371,63,98,91,52,44,35,383
22372,74,68,82,56,32,34,346
22373,87,88,59,79,40,44,397
22374,67,57,99,65,34,33,355
22375,70,79,66,54,36,36,341
22376,75,61,94,91,40,44,405
22377,77,92,94,50,31,48,392
22378,88,99,60,67,47,38,399
22379,90,62,66,53,48,31,350
22380,70,71,64,78,35,48,366
