RollNo,DBMS-TH,TOC-TH,SPOS-TH,CNS-TH,LP1-TH,DBMS-PR,CNS-PR,LP1-PR,STC-TW,Total
33101,76,65,90,89,95,24,46,37,39,561
33102,100,84,98,82,56,21,36,23,28,528
33103,98,56,67,67,84,27,49,44,37,529
33104,56,87,71,69,67,49,26,39,26,490
33105,98,61,100,51,56,38,42,31,39,516
33106,100,60,74,89,75,46,37,39,48,568
33107,50,80,54,97,81,47,43,36,25,513
33108,89,86,76,56,79,50,37,37,40,550
33109,63,99,90,80,62,31,47,34,31,537
33110,75,70,97,89,71,36,32,46,34,550
33111,82,70,96,80,52,42,41,45,20,528
33112,63,62,75,77,97,26,44,45,28,517
33113,95,94,73,54,74,44,21,45,32,532
33114,54,95,99,66,93,24,30,33,26,520
33115,89,58,69,73,69,37,39,34,32,500
33116,83,90,96,77,100,36,39,40,30,591
33117,85,53,59,87,52,41,21,42,43,483
33118,95,66,52,97,57,49,49,48,25,538
33119,57,74,79,64,61,49,37,27,21,469
33120,69,61,90,66,86,38,22,24,42,498
33121,56,60,98,50,62,33,26,23,50,458
33122,74,57,65,77,67,33,30,21,27,451
33123,97,90,96,52,90,23,47,42,31,568
33124,78,54,77,53,56,33,20,25,42,438
33125,81,83,80,76,90,33,38,30,40,551
33126,57,60,76,87,88,26,31,32,35,492
33127,73,84,77,72,57,20,31,44,26,484
33128,99,76,68,82,86,39,49,44,37,580
33129,59,75,56,76,97,42,34,40,47,526
33130,84,54,78,71,79,20,33,36,43,498
33131,71,70,61,97,91,34,29,24,41,518
33132,96,54,76,58,81,21,22,24,34,466
33133,58,58,73,59,73,37,36,42,29,465
33134,85,92,62,83,73,38,28,34,20,515
33135,79,97,98,56,51,46,37,21,20,505
33136,88,100,61,69,90,29,25,43,32,537
33137,77,87,87,92,56,37,42,25,36,539
33138,74,55,89,82,63,36,35,34,37,505
33139,65,57,83,76,75,45,26,49,44,520
33140,64,87,79,73,72,46,27,22,25,495
33141,73,99,93,99,61,36,50,27,41,579
33142,83,87,50,61,61,28,46,32,42,490
33143,83,82,61,90,83,45,33,41,49,567
33144,92,83,72,69,87,31,20,39,34,527
33145,80,94,81,90,87,29,22,34,45,562
33146,84,75,66,85,70,38,26,33,46,523
33147,86,77,63,61,99,30,38,27,30,511
33148,54,77,58,81,85,45,48,45,41,534
33149,93,52,66,67,61,44,43,41,35,502
33150,78,51,93,88,54,43,50,21,45,523
33151,68,50,89,55,84,46,50,42,49,533
33152,65,70,72,80,97,41,50,33,47,555
33153,51,51,84,62,98,41,48,36,34,505
33154,66,97,97,74,82,20,46,25,31,538
33155,66,96,60,64,77,49,33,38,28,511
33156,57,86,72,75,61,34,42,47,30,504
33157,85,89,74,63,61,36,20,20,48,496
33158,98,83,66,85,83,49,29,25,42,560
33159,96,99,66,61,66,31,22,23,23,487
33160,70,79,52,69,95,44,49,38,48,544
33161,64,68,63,66,72,29,48,20,49,479
33162,52,50,89,80,73,29,22,24,20,439
33163,60,64,53,67,83,32,37,35,21,452
33164,72,64,89,97,73,35,44,26,25,525
33165,52,90,85,59,90,34,43,45,38,536
33166,84,93,96,81,100,30,47,25,35,591
33167,55,76,77,100,63,27,38,33,29,498
33168,69,70,92,63,93,47,41,20,42,537
33169,81,88,63,70,73,20,42,24,28,489
33170,99,74,65,82,50,33,27,42,46,518
33171,89,56,76,86,51,37,36,21,37,489
33172,74,83,78,70,69,40,22,34,46,516
33173,70,51,93,80,63,28,26,32,30,473
33174,93,62,63,84,57,44,50,33,45,531
33175,80,74,60,62,86,36,45,36,30,509
33176,72,63,94,81,77,32,38,43,30,530
33177,73,75,56,61,66,36,38,39,21,465
33178,52,72,87,90,55,31,37,28,43,495
33179,74,72,62,93,62,23,27,39,41,493
33180,82,61,95,73,64,23,32,42,20,492
