RollNo,I&SR-TH,SPM-TH,DP-TH,HPC-TH,WC-TH,LP3-TW,LP3-OR,LP4-TW,LP4-PR,PS1-TW,Total
43301,47,45,46,85,50,25,20,24,23,48,413
43302,71,67,77,85,50,24,21,21,22,35,473
43303,76,60,50,66,83,21,21,21,22,42,462
43304,84,70,53,71,54,22,19,21,22,47,463
43305,69,88,55,83,85,21,18,21,21,46,507
43306,61,78,66,71,82,22,22,22,22,46,492
43307,85,81,59,48,59,21,21,22,19,44,459
43308,87,71,68,86,53,23,20,22,19,39,488
43309,43,90,75,53,82,22,21,25,18,35,464
43310,73,63,88,51,80,22,20,24,22,35,478
43311,44,70,43,0,77,24,19,22,19,44,362
43312,54,83,73,81,74,24,18,25,19,46,497
43313,46,47,73,61,49,23,21,22,22,49,413
43314,90,95,46,55,69,21,21,23,0,47,467
43315,77,43,55,42,89,25,19,24,19,46,439
43316,88,57,48,73,55,23,19,23,21,43,450
43317,94,53,89,65,60,24,19,23,23,39,489
43318,69,46,57,89,67,21,18,25,23,44,459
43319,59,42,85,45,72,22,21,23,18,44,431
43320,52,58,49,52,66,23,23,24,23,38,408
43321,53,73,57,76,71,22,21,23,21,37,454
43322,49,64,82,88,87,24,22,21,19,41,497
43323,56,58,71,75,94,22,21,25,22,40,484
43324,59,50,50,63,85,25,21,22,22,37,434
43325,76,83,79,84,70,24,21,22,23,40,522
43326,73,83,42,68,80,22,18,23,23,35,467
43327,0,50,73,84,58,22,21,23,21,39,391
43328,57,62,45,74,56,25,19,23,23,41,425
43329,52,45,64,42,84,23,21,21,18,43,413
43330,73,54,48,65,90,21,20,24,19,40,454
43331,81,66,66,42,47,25,22,21,20,35,425
43332,54,48,85,67,71,21,19,21,23,35,444
43333,63,87,77,64,49,21,21,25,23,42,472
43334,43,86,65,82,52,24,18,23,20,44,457
43335,69,93,55,87,88,22,21,24,18,42,519
43336,76,52,85,52,57,24,21,25,19,49,460
43337,0,80,73,83,81,23,18,23,21,46,448
43338,55,86,69,72,67,21,21,24,23,48,486
43339,77,61,68,45,79,23,23,22,22,42,462
43340,59,89,73,62,64,25,21,21,18,43,475
43341,60,46,47,72,68,22,22,22,21,41,421
43342,60,94,55,65,56,24,23,23,19,49,468
43343,90,41,46,42,65,21,0,23,19,36,383
43344,77,62,43,70,81,21,23,25,18,46,466
43345,80,70,62,57,92,24,23,23,23,40,494
43346,76,67,48,73,72,25,19,21,19,43,463
43347,84,75,68,89,81,22,22,21,23,42,527
43348,80,85,86,66,71,24,22,24,18,49,525
43349,88,86,81,70,67,21,20,25,22,44,524
43350,54,87,84,76,82,22,22,21,23,45,516
43351,50,55,44,50,47,23,21,25,21,49,385
43352,45,57,50,69,47,22,22,25,23,43,403
43353,85,63,77,78,76,21,18,23,18,35,494
43354,61,50,65,43,89,21,21,21,18,38,427
43355,95,72,62,81,61,23,18,25,23,42,502
43356,80,77,46,79,70,21,23,25,23,44,488
43357,60,72,56,44,92,25,18,23,18,38,446
43358,80,76,48,43,75,21,20,25,22,39,449
43359,95,91,73,54,91,25,20,21,18,48,536
43360,0,92,73,74,77,25,20,25,21,39,446
43361,52,51,63,50,95,21,19,21,22,40,434
43362,72,48,84,60,80,21,18,23,18,35,459
43363,69,64,42,83,53,25,23,21,18,49,447
43364,49,86,88,50,59,25,23,25,23,37,465
43365,79,76,44,82,88,21,19,25,22,39,495
43366,42,85,54,45,47,25,22,23,23,45,411
43367,42,92,46,86,70,24,20,25,19,46,470
43368,89,86,74,75,93,25,23,23,21,47,556
43369,61,92,88,0,66,25,21,24,22,47,446
43370,44,55,48,52,60,25,19,23,22,41,389
43371,89,62,64,89,94,23,18,25,20,44,528
43372,71,43,57,67,56,21,20,22,18,42,417
43373,80,46,62,71,54,25,19,22,18,46,443
43374,84,50,68,59,82,23,19,23,22,40,470
43375,69,52,64,45,72,21,20,25,20,49,437
43376,66,56,56,53,75,22,19,25,23,44,439
43377,93,45,46,76,64,22,22,24,20,49,461
43378,72,86,55,83,74,24,20,22,21,45,502
43379,46,43,80,61,83,23,18,25,22,42,443
43380,76,45,72,58,50,22,22,21,19,41,426
