RollNo,EM3-TH,PA-TH,DBMS-TH,CG-TH,SE-TH,PSDL-TW,PSDL-PR,DBMS-TW,DBMS-PR,CGL-TW,CGL-PR,EM3-TW,Total
#NAME?,46,74,85,54,63,24,15,22,21,25,18,23,470
#NAME?,85,89,54,53,78,24,23,25,25,23,23,21,523
#NAME?,57,55,79,64,85,20,22,24,20,24,17,22,489
#NAME?,61,53,89,83,45,21,18,20,23,21,23,25,482
#NAME?,71,56,53,55,42,24,19,22,0,20,21,20,403
#NAME?,50,43,97,42,53,23,17,22,25,22,19,20,433
#NAME?,48,84,72,67,74,24,17,23,24,21,19,25,498
#NAME?,61,85,71,44,45,23,18,21,20,22,12,20,442
#NAME?,73,43,89,61,53,23,15,24,24,20,21,25,471
#NAME?,85,43,61,53,80,22,21,25,22,22,12,21,467
#NAME?,82,44,57,89,61,21,21,20,23,22,24,21,485
#NAME?,0,77,86,49,58,21,22,23,22,23,17,22,420
#NAME?,43,64,78,69,46,25,18,20,25,24,22,20,454
#NAME?,78,91,71,46,53,24,23,21,25,20,20,24,496
#NAME?,42,78,52,0,70,20,24,21,23,20,12,21,383
#NAME?,55,66,96,50,77,21,15,21,23,21,19,20,484
#NAME?,65,73,94,45,67,23,21,20,22,25,14,25,494
#NAME?,84,65,75,76,54,24,18,25,22,20,12,20,495
#NAME?,63,81,79,75,85,24,23,20,21,21,19,21,532
#NAME?,55,76,91,87,74,22,17,23,25,20,0,25,515
#NAME?,66,64,80,66,68,25,17,21,24,22,20,23,496
#NAME?,74,65,54,60,83,21,18,23,21,24,19,20,482
#NAME?,80,61,56,60,81,20,22,21,20,22,17,20,480
#NAME?,53,65,70,53,48,24,16,20,24,22,21,23,439
#NAME?,76,79,61,51,87,21,15,25,21,24,24,21,505
#NAME?,71,61,62,87,83,23,17,21,23,23,20,25,516
#NAME?,71,46,59,54,54,25,24,24,23,25,20,24,449
#NAME?,62,50,53,47,83,22,19,21,23,24,20,21,445
#NAME?,0,43,91,49,63,23,18,24,20,24,16,21,392
#NAME?,83,92,89,0,83,20,15,20,20,23,19,21,485
#NAME?,64,47,74,70,86,22,20,21,20,25,12,21,482
#NAME?,83,70,79,63,72,20,20,25,24,23,24,21,524
#NAME?,78,44,90,42,49,21,23,20,22,24,19,24,456
#NAME?,48,52,66,55,71,22,23,21,23,23,15,23,442
#NAME?,59,78,54,71,48,25,16,20,23,23,16,24,457
#NAME?,52,72,82,50,60,23,23,21,23,22,22,23,473
#NAME?,64,42,95,82,64,21,16,22,25,24,19,24,498
#NAME?,47,86,77,43,88,23,17,22,21,24,12,24,484
#NAME?,81,83,82,59,62,25,24,21,21,21,17,20,516
#NAME?,67,73,89,67,46,22,17,22,20,22,22,25,492
#NAME?,81,68,87,65,75,24,17,23,23,24,18,22,527
#NAME?,61,74,80,41,44,25,22,24,20,22,13,23,449
#NAME?,57,80,96,46,48,24,23,25,24,22,23,22,490
#NAME?,78,92,95,51,86,22,24,24,22,22,12,23,551
#NAME?,62,58,54,40,67,23,19,22,25,21,18,22,431
#NAME?,52,68,96,67,76,21,17,20,21,22,16,25,501
#NAME?,47,47,66,60,78,24,22,22,23,23,24,23,459
#NAME?,70,70,55,77,52,20,17,25,22,22,17,25,472
#NAME?,52,79,94,40,44,23,18,23,22,22,15,20,452
#NAME?,82,77,92,79,74,21,17,23,21,25,14,22,547
#NAME?,69,79,73,82,56,25,16,21,21,24,14,22,502
#NAME?,68,53,83,88,75,21,21,21,25,25,19,20,519
#NAME?,55,86,68,61,83,23,22,24,21,23,12,24,502
#NAME?,59,80,56,56,70,21,17,23,24,24,18,25,473
#NAME?,43,90,63,72,41,22,18,22,25,25,20,24,465
#NAME?,42,77,94,45,51,21,15,20,24,25,14,24,452
#NAME?,43,69,50,86,63,25,22,21,23,21,14,25,462
#NAME?,60,83,81,69,48,23,20,21,24,20,22,25,496
#NAME?,50,58,84,77,57,25,24,23,21,23,20,21,483
#NAME?,52,69,56,61,87,20,15,21,20,23,20,25,469
#NAME?,80,83,91,89,47,24,24,25,25,20,20,22,550
#NAME?,85,88,64,86,53,25,0,23,24,24,20,20,512
#NAME?,83,90,73,40,74,22,20,25,20,21,22,24,514
#NAME?,47,43,97,43,63,24,22,20,24,21,13,20,437
#NAME?,44,74,74,43,56,25,15,22,22,21,21,23,440
#NAME?,68,57,70,70,54,25,22,20,24,22,16,22,470
#NAME?,84,65,52,75,75,21,16,25,25,20,13,24,495
#NAME?,74,58,66,84,87,20,16,24,23,21,17,23,513
#NAME?,58,66,76,89,88,25,24,20,23,24,22,20,535
#NAME?,87,0,82,55,79,20,19,22,23,24,19,20,450
#NAME?,68,49,88,77,76,23,18,24,20,21,19,21,504
#NAME?,50,46,66,55,63,20,17,21,22,24,21,22,427
#NAME?,71,56,55,51,46,25,20,24,20,21,20,25,434
#NAME?,42,87,87,82,57,20,19,22,25,25,19,20,505
