RollNo,DM-TH,LDCO-TH,DSA-TH,BCN-TH,LDCOL-TW,LDCOL-PR,DSAL-TW,DSAL-PR,OOP-TW,OOP-PR,DM-TW,SSL-TW,Total
22301,51,92,45,58,23,19,24,17,24,21,20,21,415
22302,65,84,75,59,25,18,22,16,22,18,24,20,448
22303,87,68,56,46,22,22,23,21,23,20,22,22,432
22304,48,83,68,67,24,22,25,22,21,20,23,21,444
22305,77,49,52,59,20,20,22,12,24,19,22,20,396
22306,59,47,64,91,21,22,21,14,21,21,20,22,423
22307,67,61,82,76,25,18,25,21,23,20,23,23,464
22308,55,48,61,60,23,18,21,23,24,21,25,24,403
22309,45,55,50,75,22,21,23,16,25,20,23,22,397
22310,66,62,69,58,24,19,24,18,20,19,25,24,428
22311,84,57,74,70,23,23,22,20,20,18,24,25,460
22312,65,66,42,50,23,20,24,0,25,21,24,23,383
22313,46,46,0,83,23,22,22,23,21,0,24,25,335
22314,42,86,51,57,23,23,24,20,23,19,25,24,417
22315,67,67,49,79,20,20,24,22,21,22,23,21,435
22316,84,69,71,74,24,22,24,15,23,22,21,24,473
22317,80,47,78,53,21,18,24,16,21,22,20,20,420
22318,78,60,60,92,21,18,25,12,25,23,20,23,457
22319,87,62,84,90,24,23,21,15,22,21,24,22,495
22320,49,61,81,82,22,22,23,14,24,23,23,25,449
22321,61,84,44,52,23,22,24,21,22,23,20,22,418
22322,0,59,49,53,22,19,24,19,25,20,24,22,336
22323,42,76,45,60,23,0,25,16,20,18,25,23,373
22324,46,75,43,73,23,21,25,14,21,21,22,24,408
22325,70,62,43,77,24,18,22,17,22,21,25,22,423
22326,43,52,58,0,20,20,22,17,20,20,23,23,318
22327,80,48,65,79,23,20,24,15,20,20,24,25,443
22328,55,57,44,76,25,18,22,17,22,20,25,25,406
22329,88,53,51,67,21,19,25,15,22,20,24,24,429
22330,87,50,46,61,24,21,22,15,25,20,24,22,417
22331,50,92,55,46,24,18,25,20,24,23,24,21,422
22332,47,90,43,60,25,22,22,12,22,19,24,21,407
22333,76,91,51,79,22,23,25,20,25,20,22,23,477
22334,82,51,54,42,20,21,24,14,24,19,22,20,393
22335,81,92,75,88,24,23,22,21,24,18,22,21,511
22336,87,47,87,58,24,18,22,23,22,20,21,25,454
22337,79,67,48,43,23,22,25,18,20,22,23,22,412
22338,59,86,47,84,25,0,24,12,24,23,22,24,430
22339,65,44,81,71,23,22,24,15,25,22,25,22,439
22340,44,71,82,88,23,19,21,12,21,22,23,22,448
22341,79,73,80,75,22,22,22,12,24,18,20,20,467
22342,61,64,86,47,20,19,21,20,22,22,22,25,429
22343,48,88,52,49,24,19,22,20,23,21,23,23,412
22344,55,90,60,74,20,22,25,17,20,20,25,25,453
22345,74,86,49,55,25,20,25,23,25,22,21,20,445
22346,72,78,75,64,21,20,21,14,24,21,25,20,455
22347,73,75,0,68,20,20,25,12,24,19,22,20,378
22348,54,80,81,55,23,20,21,19,23,21,20,23,440
22349,74,62,73,51,24,20,23,23,23,23,24,25,445
22350,42,69,70,74,21,22,25,13,25,18,23,20,422
22351,0,51,64,60,20,19,22,16,20,19,22,24,337
22352,75,75,66,68,21,23,21,18,23,20,22,21,453
22353,58,89,68,84,20,22,22,21,21,21,20,20,466
22354,65,88,45,47,23,22,21,15,24,19,20,20,409
22355,69,50,74,64,23,20,21,20,22,22,21,20,426
22356,88,63,84,52,21,21,25,12,23,23,21,21,454
22357,42,64,43,45,25,20,22,19,24,21,23,25,373
22358,63,92,55,74,25,20,22,12,22,19,23,24,451
22359,47,65,76,61,21,19,25,15,20,19,25,23,416
22360,44,53,85,79,21,20,22,20,23,23,20,25,435
22361,88,82,45,59,21,23,24,22,21,23,20,24,452
22362,50,54,87,61,24,20,25,15,22,19,24,25,426
22363,80,91,70,88,22,21,22,23,20,21,21,22,501
22364,76,53,48,73,21,19,25,15,22,20,20,22,414
22365,58,62,0,83,22,22,23,23,22,20,21,20,376
22366,82,67,72,59,21,22,21,15,20,22,23,25,449
22367,87,61,66,72,21,19,24,12,25,18,22,24,451
22368,59,55,64,90,23,23,24,23,20,19,21,22,443
22369,68,72,65,58,20,20,21,21,23,23,21,25,437
22370,57,82,43,85,20,18,24,21,23,18,21,21,433
22371,65,66,52,51,24,21,21,15,22,19,20,24,400
22372,75,76,42,84,25,23,21,20,23,22,21,20,452
22373,42,73,77,61,25,18,22,14,25,21,20,22,420
22374,86,75,54,58,21,22,24,14,22,19,23,24,442
