RollNo,TOC-TH,OS-TH,ML-TH,HCI-TH,DAA-TH,ADBMS-TH,SEMINAR,HCIL-OR,LP1- TW,LP1-PR,OSL-TW,OSL-PR,Total
33101,64,87,88,58,88,0,40,45,21,14,21,15,541
33102,61,64,72,40,88,0,49,44,18,13,24,15,488
33103,73,73,54,47,88,0,48,37,19,15,22,15,491
33104,69,40,75,82,88,0,37,42,22,0,20,15,490
33105,69,81,57,40,0,56,45,41,22,16,23,13,463
33106,72,55,0,80,0,89,43,38,22,23,23,22,467
33107,67,43,64,72,76,0,44,43,18,23,21,12,483
33108,76,50,85,66,41,0,48,37,22,21,23,13,482
33109,49,90,70,62,54,0,37,40,23,18,20,11,474
33110,47,87,70,80,0,69,39,47,21,19,20,23,522
33111,56,62,68,73,50,0,40,45,20,23,20,18,475
33112,44,73,45,61,82,0,49,36,23,17,21,22,473
33113,40,72,66,60,48,0,43,42,21,17,24,21,454
33114,40,76,85,42,60,0,35,38,23,15,24,21,459
33115,52,80,65,43,47,0,42,49,18,16,23,12,447
33116,75,90,41,42,0,70,47,38,25,21,20,22,491
33117,75,83,74,72,47,0,35,0,23,19,20,15,463
33118,54,63,88,78,71,0,35,44,22,20,21,22,518
33119,43,57,49,81,71,0,50,35,22,14,22,11,455
33120,72,75,83,88,72,0,39,42,21,24,22,21,559
33121,50,61,82,76,65,0,46,44,21,17,21,17,500
33122,77,64,83,45,84,0,36,50,22,18,20,14,513
33123,55,52,71,55,57,0,46,45,18,15,24,23,461
33124,64,63,90,81,64,0,43,35,23,18,24,12,517
33125,75,65,42,72,53,0,36,37,20,19,24,17,460
33126,77,41,82,61,0,87,41,39,19,18,20,10,495
33128,42,63,66,74,78,0,50,39,20,16,21,17,486
33129,70,44,54,68,60,0,42,39,18,23,22,21,461
33130,77,89,52,88,78,0,47,35,20,16,21,14,537
33131,82,82,82,64,75,0,43,47,18,13,22,20,548
33132,45,81,40,42,84,0,40,49,23,24,24,20,472
33133,53,77,85,78,72,0,44,41,22,15,21,19,527
33134,48,83,42,49,65,0,38,38,20,13,22,15,433
33135,60,68,65,57,53,0,41,48,21,19,21,11,464
33136,84,78,79,41,65,0,45,47,20,20,24,19,522
33137,67,61,77,44,0,71,36,40,22,22,23,21,484
33138,59,90,63,61,52,0,39,39,24,18,20,14,479
33139,80,63,83,50,78,0,50,39,19,23,22,11,518
33140,77,43,87,42,0,84,35,38,20,20,24,18,488
33141,67,60,53,86,53,0,49,39,18,24,21,18,488
33142,66,69,73,77,73,0,44,48,23,23,21,12,529
33143,55,80,72,89,50,0,49,49,25,24,23,21,537
33144,72,65,75,90,85,0,46,41,25,15,23,16,553
33145,40,89,72,83,0,0,50,35,25,17,24,20,455
33146,69,40,40,82,54,0,36,48,25,23,21,13,451
33147,72,89,81,89,86,0,45,42,21,14,20,11,570
33148,50,77,87,63,52,0,38,48,25,17,24,14,495
33149,50,0,46,71,0,86,49,44,23,17,21,21,428
33149,53,89,66,54,76,0,45,35,21,13,23,24,499
33150,75,53,51,47,0,82,39,44,18,24,23,14,470
33151,43,60,60,63,86,0,50,39,21,15,20,15,472
33152,76,78,72,82,80,0,35,37,19,23,21,24,547
33153,53,80,67,44,46,0,36,45,23,18,20,14,446
33154,73,43,44,72,85,0,38,47,25,16,21,18,482
33155,63,90,82,60,68,0,38,47,24,13,23,12,520
33156,51,51,86,54,0,78,41,45,20,13,20,14,473
33157,71,62,56,46,46,0,46,45,23,19,21,15,450
33158,55,66,72,67,90,0,41,37,21,19,24,21,513
33159,64,71,83,90,74,0,47,48,24,24,21,12,558
33160,72,62,41,59,70,0,44,46,25,17,21,17,474
33161,63,54,41,60,86,0,43,44,23,19,21,20,474
33162,82,84,59,57,48,0,38,47,24,24,23,17,503
33163,61,87,73,73,79,0,48,38,23,15,22,12,531
33164,71,86,84,58,42,0,37,43,22,16,24,23,506
33165,67,48,82,59,53,0,46,49,19,14,24,17,478
33166,78,71,67,68,67,0,41,35,25,16,21,19,508
33167,78,68,90,73,46,0,39,42,18,18,24,18,514
33168,53,67,43,73,74,0,36,42,20,18,22,24,472
33169,63,88,82,64,74,0,46,44,18,23,24,19,545
33170,57,50,51,57,81,0,50,36,20,17,21,13,453
33171,41,81,80,0,77,0,47,47,25,14,24,14,450
33172,47,48,73,76,65,0,45,44,18,13,20,15,464
33173,50,54,56,46,0,89,49,44,23,16,24,16,467
33174,61,82,47,90,40,0,39,46,21,14,20,10,470
33175,0,80,77,64,85,0,41,42,23,21,22,11,466
33176,83,88,41,50,48,0,46,35,25,21,23,20,480
33177,75,80,69,42,45,0,37,50,20,21,22,24,485
33178,70,47,80,63,0,85,42,37,22,15,21,10,492
33179,69,74,90,79,0,0,35,39,23,16,20,10,455
33180,42,82,73,65,51,0,47,37,21,21,23,23,485
33181,43,67,68,61,67,0,38,46,25,14,20,17,466
33182,72,72,81,74,0,0,45,39,19,18,22,16,458
