RollNo,CNS-TH,DS&BDA-TH,WAD-TH,CC-TH,INTERNSHIP,CNSL-TW,CNSL-OR,DS&BDA TW,DS&BDA-PR,LP2- TW,LP2- PR,Total
33101,59,73,64,73,90,21,53,20,17,21,39,530
33102,80,52,52,84,75,21,32,23,16,21,46,502
33103,72,84,73,74,73,24,42,21,17,24,27,531
33104,55,77,71,58,63,23,38,23,15,24,41,488
33105,50,48,89,61,64,25,35,20,17,20,33,462
33106,51,55,68,66,57,25,42,22,23,24,30,463
33107,63,77,92,78,59,20,46,20,21,24,41,541
33108,45,45,87,93,86,20,43,22,15,22,45,523
33109,55,52,80,58,76,25,46,20,15,22,44,493
33110,68,60,75,85,68,21,38,20,18,20,42,515
33111,52,84,50,50,66,23,39,23,17,23,36,463
33112,89,53,52,84,64,22,44,20,22,23,35,508
33113,66,71,60,75,59,22,38,24,18,20,34,487
33114,54,83,91,83,81,22,34,23,19,24,43,557
33115,45,60,71,57,81,20,32,21,17,20,34,458
33116,53,68,55,89,70,21,42,22,16,20,27,483
33117,47,83,79,54,76,21,35,24,18,23,27,487
33118,47,83,57,93,72,21,42,24,18,22,33,512
33119,48,55,76,47,83,22,38,24,18,24,39,474
33120,45,68,58,76,75,25,39,22,17,23,46,494
33121,86,76,60,89,64,25,45,20,20,20,40,545
33122,65,69,54,59,79,20,32,20,18,23,35,474
33123,62,52,71,53,75,21,48,24,21,20,46,493
33124,75,57,60,76,87,22,49,22,15,21,40,524
33125,79,65,80,76,68,21,33,21,22,21,43,529
33126,60,75,90,78,69,25,43,20,17,20,31,528
33128,83,73,76,92,65,24,34,20,16,21,44,548
33129,52,57,66,83,63,25,35,20,22,22,33,478
33130,48,73,71,83,79,23,41,24,23,20,45,530
33131,81,68,69,71,60,24,46,24,20,24,34,521
33132,71,69,84,73,90,21,40,23,16,22,40,549
33133,69,73,87,76,73,20,30,21,20,24,31,524
33134,72,72,53,69,88,20,39,24,15,22,39,513
33135,86,56,53,52,78,21,47,23,21,23,37,497
33136,62,58,50,53,65,25,33,21,17,20,37,441
33137,45,78,84,69,73,20,43,23,19,21,37,512
33138,71,72,76,54,78,20,36,22,15,21,25,490
33139,71,49,65,48,71,22,40,24,22,23,41,476
33140,55,74,57,79,63,24,37,23,21,20,35,488
33141,48,0,59,59,74,0,42,24,20,0,28,354
33142,88,70,64,50,67,25,43,20,23,20,42,512
33143,57,86,93,49,88,21,44,20,16,24,35,533
33144,80,82,90,57,60,25,41,24,23,23,33,538
33145,81,84,73,63,86,20,37,22,17,20,43,546
33146,61,87,55,83,86,24,48,22,23,24,30,543
33147,59,54,71,91,88,25,41,21,22,22,47,541
33148,84,63,77,86,56,23,48,20,15,23,29,524
33149,50,85,79,52,80,21,40,21,17,20,47,512
33149,55,81,54,89,76,23,35,23,19,24,29,508
33150,56,48,73,67,78,21,32,24,16,20,40,475
33151,72,51,54,93,79,24,32,23,15,22,34,499
33152,85,83,68,48,83,22,34,22,23,21,29,518
33153,48,68,95,61,79,20,41,23,23,20,33,511
33154,64,75,95,71,73,25,38,23,20,20,32,536
33155,50,69,61,93,66,23,34,23,21,20,35,495
33156,57,47,64,91,73,20,49,20,16,22,39,498
33157,70,48,50,77,79,21,34,21,21,21,47,489
33158,60,81,91,49,70,25,33,22,16,23,27,497
33159,50,49,82,72,76,22,50,21,18,20,34,494
33160,58,69,58,76,71,20,34,22,15,23,42,488
33161,57,73,73,47,70,23,32,23,19,24,46,487
33162,72,60,76,74,82,21,39,22,16,22,36,520
33163,71,85,75,68,78,22,44,23,21,22,35,544
33164,46,78,94,54,61,23,49,20,15,24,28,492
33165,55,75,83,48,87,20,39,22,23,22,39,513
33166,85,72,93,87,67,23,44,22,23,22,42,580
33167,73,82,59,75,74,23,42,24,21,20,43,536
33168,82,78,75,63,60,24,37,22,17,20,37,515
33169,85,49,93,72,85,24,30,21,21,22,25,527
33170,65,55,94,50,70,25,41,24,23,22,29,498
33171,79,54,78,62,78,21,31,24,15,21,36,499
33172,81,69,79,88,65,23,32,20,19,20,37,533
33173,87,53,57,48,80,25,45,22,15,22,39,493
33174,66,78,75,68,64,20,47,23,16,20,38,515
33175,80,48,63,80,81,22,38,24,17,22,27,502
33176,80,60,52,77,86,21,46,24,16,23,29,514
33177,0,0,0,0,62,25,31,22,0,22,46,208
33178,82,50,66,49,80,20,41,22,16,23,36,485
33179,80,82,94,80,72,25,40,20,20,24,26,563
33180,58,49,77,88,85,20,44,24,15,24,42,526
33181,60,76,92,51,90,24,31,20,15,23,33,515
33182,86,71,54,61,75,21,38,24,17,22,42,511
